serie_correlativo;numero;nombre_empresa;fecha_de_emision;hora_de_emision;nom_proveedor;cat_proveedor;tipo_documento;doc_proveedor;items;factura.fecha_emision;factura.cliente;factura.id_cliente;factura.total;factura.moneda;factura.estado;item.id_producto;item.codigo_producto;item.nom_producto;item.categoria_producto;item.cantidad;item.valor_unitario;item.precio_unitario;item.descuento;item.subtotal;item.porcentaje_de_igv;item.igv;item.total;item.moneda;item.tipo_de_cambio;item.id_estado;item.nombre_estado;item.id_vendedor;item.nom_vendedor;item.id_cuenta_analitica;item.nom_cuenta_analitica;item.distribucion_analitica;item.evento.id_evento;item.evento.nom_evento;item.evento.Fecha_hora_ini_event;item.evento.Fecha_hora_fin_event;item.evento.id_organizador;item.evento.nom_organizador;item.evento.tipo_organizador
(01) Factura FB01;00000075;COLABORATIVA S.A.C.;19/09/2025;3/10/2025 11:20;CORPORACION LA CHOZA S.A.C.;;6;20553193169;[{'id_producto': '1', 'codigo_producto': '', 'nom_producto': 'COMISIÓN PAGOS DIGITALES SEGUN CONTRATO -', 'categoria_producto': '', 'cantidad': '1.0', 'valor_unitario': 1355.93, 'precio_unitario': 1600.0, 'descuento': None, 'subtotal': 1355.93, 'porcentaje_de_igv': '18.00', 'igv': 244.07, 'total': 1600.0, 'moneda': '1', 'tipo_de_cambio': '', 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '2461', 'nom_evento': 'Test 2,461', 'Fecha_hora_ini_event': '2025-10-31', 'Fecha_hora_fin_event': '2025-10-31', 'id_organizador': '', 'nom_organizador': 'CORPORACION LA CHOZA S.A.C.', 'tipo_organizador': ''}, 'id_vendedor': 2, 'nom_vendedor': 'SAMUEL CHUQUISTA', 'id_cuenta_analitica': 137, 'nom_cuenta_analitica': 'TI', 'distribucion_analitica': [[{'código': 137, 'nom_distribucion': 'TI', 'sub_categoria': '', 'porcentaje': '100.00'}]]}];19/09/2025;;;;;;1;;COMISIÓN PAGOS DIGITALES SEGUN CONTRATO -;;1;1355.93;1600;;1355.93;18;244.07;1600;1;;not_paid;Sin pagar;2;SAMUEL CHUQUISTA;137;TI;[[{'código': 137, 'nom_distribucion': 'TI', 'sub_categoria': '', 'porcentaje': '100.00'}]];2461;Test 2,461;31/10/2025;31/10/2025;;CORPORACION LA CHOZA S.A.C.;
(01) Factura FB01;00000074;COLABORATIVA S.A.C.;19/09/2025;3/10/2025 11:02;JP Producciones Generales EIRL;Cliente;6;20608361074;[{'id_producto': '1', 'codigo_producto': '', 'nom_producto': 'COMISIÓN PAGOS DIGITALES SEGUN CONTRATO -', 'categoria_producto': '', 'cantidad': '1.0', 'valor_unitario': 50.85, 'precio_unitario': 60.0, 'descuento': None, 'subtotal': 50.85, 'porcentaje_de_igv': '17.99', 'igv': 9.15, 'total': 60.0, 'moneda': '1', 'tipo_de_cambio': '', 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '', 'nom_evento': '', 'Fecha_hora_ini_event': '', 'Fecha_hora_fin_event': '', 'id_organizador': '', 'nom_organizador': 'JP Producciones Generales EIRL', 'tipo_organizador': ''}, 'id_vendedor': 2, 'nom_vendedor': 'SAMUEL CHUQUISTA', 'id_cuenta_analitica': 137, 'nom_cuenta_analitica': 'TI', 'distribucion_analitica': [[{'código': 137, 'nom_distribucion': 'TI', 'sub_categoria': '', 'porcentaje': '100.00'}]]}];19/09/2025;;;;;;1;;COMISIÓN PAGOS DIGITALES SEGUN CONTRATO -;;1;50.85;60;;50.85;17.99;9.15;60;1;;not_paid;Sin pagar;2;SAMUEL CHUQUISTA;137;TI;[[{'código': 137, 'nom_distribucion': 'TI', 'sub_categoria': '', 'porcentaje': '100.00'}]];;;;;;JP Producciones Generales EIRL;
(01) Factura F001;00000104;COLABORATIVA S.A.C.;19/09/2025;3/10/2025 10:46;A & Q AYLLU S.A.C.;;6;20609168961;[{'id_producto': '1', 'codigo_producto': '232', 'nom_producto': 'DESARROLLO DE CONTENIDO', 'categoria_producto': 'service', 'cantidad': '2.0', 'valor_unitario': 1000.0, 'precio_unitario': 1180.0, 'descuento': None, 'subtotal': 2000.0, 'porcentaje_de_igv': '18.00', 'igv': 360.0, 'total': 2360.0, 'moneda': '1', 'tipo_de_cambio': '', 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '2', 'nom_evento': 'Corazón Serrano - Almuerzo de camaradería', 'Fecha_hora_ini_event': '2021-08-01', 'Fecha_hora_fin_event': '2021-08-01', 'id_organizador': '', 'nom_organizador': 'A & Q AYLLU S.A.C.', 'tipo_organizador': ''}, 'id_vendedor': 2, 'nom_vendedor': 'SAMUEL CHUQUISTA', 'id_cuenta_analitica': 101, 'nom_cuenta_analitica': '[Validadores] DELIVERY', 'distribucion_analitica': [[{'código': 101, 'nom_distribucion': 'DELIVERY', 'sub_categoria': '', 'porcentaje': '100.00'}, {'código': 102, 'nom_distribucion': 'IME', 'sub_categoria': '', 'porcentaje': '100.00'}]]}, {'id_producto': '2', 'codigo_producto': '228', 'nom_producto': 'COMBO ANCLADOS', 'categoria_producto': 'service', 'cantidad': '2.0', 'valor_unitario': 1000.0, 'precio_unitario': 1180.0, 'descuento': None, 'subtotal': 2000.0, 'porcentaje_de_igv': '18.00', 'igv': 360.0, 'total': 2360.0, 'moneda': '1', 'tipo_de_cambio': '', 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '2', 'nom_evento': 'Corazón Serrano - Almuerzo de camaradería', 'Fecha_hora_ini_event': '2021-08-01', 'Fecha_hora_fin_event': '2021-08-01', 'id_organizador': '', 'nom_organizador': 'A & Q AYLLU S.A.C.', 'tipo_organizador': ''}, 'id_vendedor': 2, 'nom_vendedor': 'SAMUEL CHUQUISTA', 'id_cuenta_analitica': 101, 'nom_cuenta_analitica': '[Validadores] DELIVERY', 'distribucion_analitica': [[{'código': 101, 'nom_distribucion': 'DELIVERY', 'sub_categoria': '', 'porcentaje': '100.00'}, {'código': 102, 'nom_distribucion': 'IME', 'sub_categoria': '', 'porcentaje': '100.00'}]]}];19/09/2025;;;;;;1;232;DESARROLLO DE CONTENIDO;service;2;1000;1180;;2000;18;360;2360;1;;not_paid;Sin pagar;2;SAMUEL CHUQUISTA;101;[Validadores] DELIVERY;[[{'código': 101, 'nom_distribucion': 'DELIVERY', 'sub_categoria': '', 'porcentaje': '100.00'}, {'código': 102, 'nom_distribucion': 'IME', 'sub_categoria': '', 'porcentaje': '100.00'}]];2;Corazón Serrano - Almuerzo de camaradería;1/08/2021;1/08/2021;;A & Q AYLLU S.A.C.;
(01) Factura F001;00000104;COLABORATIVA S.A.C.;19/09/2025;3/10/2025 10:46;A & Q AYLLU S.A.C.;;6;20609168961;[{'id_producto': '1', 'codigo_producto': '232', 'nom_producto': 'DESARROLLO DE CONTENIDO', 'categoria_producto': 'service', 'cantidad': '2.0', 'valor_unitario': 1000.0, 'precio_unitario': 1180.0, 'descuento': None, 'subtotal': 2000.0, 'porcentaje_de_igv': '18.00', 'igv': 360.0, 'total': 2360.0, 'moneda': '1', 'tipo_de_cambio': '', 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '2', 'nom_evento': 'Corazón Serrano - Almuerzo de camaradería', 'Fecha_hora_ini_event': '2021-08-01', 'Fecha_hora_fin_event': '2021-08-01', 'id_organizador': '', 'nom_organizador': 'A & Q AYLLU S.A.C.', 'tipo_organizador': ''}, 'id_vendedor': 2, 'nom_vendedor': 'SAMUEL CHUQUISTA', 'id_cuenta_analitica': 101, 'nom_cuenta_analitica': '[Validadores] DELIVERY', 'distribucion_analitica': [[{'código': 101, 'nom_distribucion': 'DELIVERY', 'sub_categoria': '', 'porcentaje': '100.00'}, {'código': 102, 'nom_distribucion': 'IME', 'sub_categoria': '', 'porcentaje': '100.00'}]]}, {'id_producto': '2', 'codigo_producto': '228', 'nom_producto': 'COMBO ANCLADOS', 'categoria_producto': 'service', 'cantidad': '2.0', 'valor_unitario': 1000.0, 'precio_unitario': 1180.0, 'descuento': None, 'subtotal': 2000.0, 'porcentaje_de_igv': '18.00', 'igv': 360.0, 'total': 2360.0, 'moneda': '1', 'tipo_de_cambio': '', 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '2', 'nom_evento': 'Corazón Serrano - Almuerzo de camaradería', 'Fecha_hora_ini_event': '2021-08-01', 'Fecha_hora_fin_event': '2021-08-01', 'id_organizador': '', 'nom_organizador': 'A & Q AYLLU S.A.C.', 'tipo_organizador': ''}, 'id_vendedor': 2, 'nom_vendedor': 'SAMUEL CHUQUISTA', 'id_cuenta_analitica': 101, 'nom_cuenta_analitica': '[Validadores] DELIVERY', 'distribucion_analitica': [[{'código': 101, 'nom_distribucion': 'DELIVERY', 'sub_categoria': '', 'porcentaje': '100.00'}, {'código': 102, 'nom_distribucion': 'IME', 'sub_categoria': '', 'porcentaje': '100.00'}]]}];19/09/2025;;;;;;2;228;COMBO ANCLADOS;service;2;1000;1180;;2000;18;360;2360;1;;not_paid;Sin pagar;2;SAMUEL CHUQUISTA;101;[Validadores] DELIVERY;[[{'código': 101, 'nom_distribucion': 'DELIVERY', 'sub_categoria': '', 'porcentaje': '100.00'}, {'código': 102, 'nom_distribucion': 'IME', 'sub_categoria': '', 'porcentaje': '100.00'}]];2;Corazón Serrano - Almuerzo de camaradería;1/08/2021;1/08/2021;;A & Q AYLLU S.A.C.;
(01) Factura F001;00000103;COLABORATIVA S.A.C.;19/09/2025;3/10/2025 10:41;A & Q AYLLU S.A.C.;;6;20609168961;[{'id_producto': '1', 'codigo_producto': '232', 'nom_producto': 'DESARROLLO DE CONTENIDO', 'categoria_producto': 'service', 'cantidad': '2.0', 'valor_unitario': 1000.0, 'precio_unitario': 1180.0, 'descuento': None, 'subtotal': 2000.0, 'porcentaje_de_igv': '18.00', 'igv': 360.0, 'total': 2360.0, 'moneda': '1', 'tipo_de_cambio': '', 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '2', 'nom_evento': 'Corazón Serrano - Almuerzo de camaradería', 'Fecha_hora_ini_event': '2021-08-01', 'Fecha_hora_fin_event': '2021-08-01', 'id_organizador': '', 'nom_organizador': 'A & Q AYLLU S.A.C.', 'tipo_organizador': ''}, 'id_vendedor': 2, 'nom_vendedor': 'SAMUEL CHUQUISTA', 'id_cuenta_analitica': 101, 'nom_cuenta_analitica': '[Validadores] DELIVERY', 'distribucion_analitica': [[{'código': 101, 'nom_distribucion': 'DELIVERY', 'sub_categoria': '', 'porcentaje': '100.00'}, {'código': 102, 'nom_distribucion': 'IME', 'sub_categoria': '', 'porcentaje': '100.00'}]]}];19/09/2025;;;;;;1;232;DESARROLLO DE CONTENIDO;service;2;1000;1180;;2000;18;360;2360;1;;not_paid;Sin pagar;2;SAMUEL CHUQUISTA;101;[Validadores] DELIVERY;[[{'código': 101, 'nom_distribucion': 'DELIVERY', 'sub_categoria': '', 'porcentaje': '100.00'}, {'código': 102, 'nom_distribucion': 'IME', 'sub_categoria': '', 'porcentaje': '100.00'}]];2;Corazón Serrano - Almuerzo de camaradería;1/08/2021;1/08/2021;;A & Q AYLLU S.A.C.;
(01) Factura F001;00000102;COLABORATIVA S.A.C.;19/09/2025;3/10/2025 10:35;A & Q AYLLU S.A.C.;;6;20609168961;[{'id_producto': '1', 'codigo_producto': '232', 'nom_producto': 'DESARROLLO DE CONTENIDO', 'categoria_producto': 'service', 'cantidad': '2.0', 'valor_unitario': 1000.0, 'precio_unitario': 1180.0, 'descuento': None, 'subtotal': 2000.0, 'porcentaje_de_igv': '18.00', 'igv': 360.0, 'total': 2360.0, 'moneda': '1', 'tipo_de_cambio': '', 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '2', 'nom_evento': 'Corazón Serrano - Almuerzo de camaradería', 'Fecha_hora_ini_event': '2021-08-01', 'Fecha_hora_fin_event': '2021-08-01', 'id_organizador': '', 'nom_organizador': 'A & Q AYLLU S.A.C.', 'tipo_organizador': ''}, 'id_vendedor': 2, 'nom_vendedor': 'SAMUEL CHUQUISTA', 'id_cuenta_analitica': 101, 'nom_cuenta_analitica': '[Validadores] DELIVERY', 'distribucion_analitica': [[{'código': 101, 'nom_distribucion': 'DELIVERY', 'sub_categoria': '', 'porcentaje': '100.00'}, {'código': 102, 'nom_distribucion': 'IME', 'sub_categoria': '', 'porcentaje': '100.00'}]]}];19/09/2025;;;;;;1;232;DESARROLLO DE CONTENIDO;service;2;1000;1180;;2000;18;360;2360;1;;not_paid;Sin pagar;2;SAMUEL CHUQUISTA;101;[Validadores] DELIVERY;[[{'código': 101, 'nom_distribucion': 'DELIVERY', 'sub_categoria': '', 'porcentaje': '100.00'}, {'código': 102, 'nom_distribucion': 'IME', 'sub_categoria': '', 'porcentaje': '100.00'}]];2;Corazón Serrano - Almuerzo de camaradería;1/08/2021;1/08/2021;;A & Q AYLLU S.A.C.;
(01) Factura F001;00000101;COLABORATIVA S.A.C.;19/09/2025;3/10/2025 10:05;A & Q AYLLU S.A.C.;;6;20609168961;[{'id_producto': '1', 'codigo_producto': '232', 'nom_producto': 'DESARROLLO DE CONTENIDO', 'categoria_producto': 'service', 'cantidad': '2.0', 'valor_unitario': 0.0, 'precio_unitario': 0.0, 'descuento': None, 'subtotal': 0.0, 'porcentaje_de_igv': '0.00', 'igv': 0.0, 'total': 0.0, 'moneda': '1', 'tipo_de_cambio': '', 'id_estado': 'paid', 'nombre_estado': 'Pagado', 'evento': {'id_evento': '2', 'nom_evento': 'Corazón Serrano - Almuerzo de camaradería', 'Fecha_hora_ini_event': '2021-08-01', 'Fecha_hora_fin_event': '2021-08-01', 'id_organizador': '', 'nom_organizador': 'A & Q AYLLU S.A.C.', 'tipo_organizador': ''}, 'id_vendedor': 2, 'nom_vendedor': 'SAMUEL CHUQUISTA', 'id_cuenta_analitica': 101, 'nom_cuenta_analitica': '[Validadores] DELIVERY', 'distribucion_analitica': [[{'código': 101, 'nom_distribucion': 'DELIVERY', 'sub_categoria': '', 'porcentaje': '100.00'}, {'código': 102, 'nom_distribucion': 'IME', 'sub_categoria': '', 'porcentaje': '100.00'}]]}];19/09/2025;;;;;;1;232;DESARROLLO DE CONTENIDO;service;2;0;0;;0;0;0;0;1;;paid;Pagado;2;SAMUEL CHUQUISTA;101;[Validadores] DELIVERY;[[{'código': 101, 'nom_distribucion': 'DELIVERY', 'sub_categoria': '', 'porcentaje': '100.00'}, {'código': 102, 'nom_distribucion': 'IME', 'sub_categoria': '', 'porcentaje': '100.00'}]];2;Corazón Serrano - Almuerzo de camaradería;1/08/2021;1/08/2021;;A & Q AYLLU S.A.C.;
(01) Factura FB01;00000073;COLABORATIVA S.A.C.;17/09/2025;3/10/2025 15:44;G & N MUSIC S.A.C.;;6;20611018925;[{'id_producto': '1', 'codigo_producto': '', 'nom_producto': 'COMISIÓN PAGOS DIGITALES SEGUN CONTRATO -', 'categoria_producto': '', 'cantidad': '1.0', 'valor_unitario': 47.46, 'precio_unitario': 56.0, 'descuento': None, 'subtotal': 47.46, 'porcentaje_de_igv': '17.99', 'igv': 8.54, 'total': 56.0, 'moneda': '1', 'tipo_de_cambio': '', 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '', 'nom_evento': '', 'Fecha_hora_ini_event': '', 'Fecha_hora_fin_event': '', 'id_organizador': '', 'nom_organizador': 'G & N MUSIC S.A.C.', 'tipo_organizador': ''}, 'id_vendedor': 2, 'nom_vendedor': 'SAMUEL CHUQUISTA', 'id_cuenta_analitica': 137, 'nom_cuenta_analitica': 'TI', 'distribucion_analitica': [[{'código': 137, 'nom_distribucion': 'TI', 'sub_categoria': '', 'porcentaje': '100.00'}]]}];17/09/2025;;;;;;1;;COMISIÓN PAGOS DIGITALES SEGUN CONTRATO -;;1;47.46;56;;47.46;17.99;8.54;56;1;;not_paid;Sin pagar;2;SAMUEL CHUQUISTA;137;TI;[[{'código': 137, 'nom_distribucion': 'TI', 'sub_categoria': '', 'porcentaje': '100.00'}]];;;;;;G & N MUSIC S.A.C.;
(01) Factura FB01;00000072;COLABORATIVA S.A.C.;17/09/2025;3/10/2025 15:32;G & N MUSIC S.A.C.;;6;20611018925;[{'id_producto': '1', 'codigo_producto': '', 'nom_producto': 'COMISIÓN PAGOS DIGITALES SEGUN CONTRATO -', 'categoria_producto': '', 'cantidad': '1.0', 'valor_unitario': 67.8, 'precio_unitario': 80.0, 'descuento': None, 'subtotal': 67.8, 'porcentaje_de_igv': '17.99', 'igv': 12.2, 'total': 80.0, 'moneda': '1', 'tipo_de_cambio': '', 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '', 'nom_evento': '', 'Fecha_hora_ini_event': '', 'Fecha_hora_fin_event': '', 'id_organizador': '', 'nom_organizador': 'G & N MUSIC S.A.C.', 'tipo_organizador': ''}, 'id_vendedor': 2, 'nom_vendedor': 'SAMUEL CHUQUISTA', 'id_cuenta_analitica': 137, 'nom_cuenta_analitica': 'TI', 'distribucion_analitica': [[{'código': 137, 'nom_distribucion': 'TI', 'sub_categoria': '', 'porcentaje': '100.00'}]]}];17/09/2025;;;;;;1;;COMISIÓN PAGOS DIGITALES SEGUN CONTRATO -;;1;67.8;80;;67.8;17.99;12.2;80;1;;not_paid;Sin pagar;2;SAMUEL CHUQUISTA;137;TI;[[{'código': 137, 'nom_distribucion': 'TI', 'sub_categoria': '', 'porcentaje': '100.00'}]];;;;;;G & N MUSIC S.A.C.;
(01) Factura FB01;00000071;COLABORATIVA S.A.C.;17/09/2025;3/10/2025 15:21;G & N MUSIC S.A.C.;;6;20611018925;[{'id_producto': '1', 'codigo_producto': '', 'nom_producto': 'COMISIÓN PAGOS DIGITALES SEGUN CONTRATO -', 'categoria_producto': '', 'cantidad': '1.0', 'valor_unitario': 55.93, 'precio_unitario': 66.0, 'descuento': None, 'subtotal': 55.93, 'porcentaje_de_igv': '18.00', 'igv': 10.07, 'total': 66.0, 'moneda': '1', 'tipo_de_cambio': '', 'id_estado': 'not_paid', 'nombre_estado': 'Sin pagar', 'evento': {'id_evento': '', 'nom_evento': '', 'Fecha_hora_ini_event': '', 'Fecha_hora_fin_event': '', 'id_organizador': '', 'nom_organizador': 'G & N MUSIC S.A.C.', 'tipo_organizador': ''}, 'id_vendedor': 2, 'nom_vendedor': 'SAMUEL CHUQUISTA', 'id_cuenta_analitica': 137, 'nom_cuenta_analitica': 'TI', 'distribucion_analitica': [[{'código': 137, 'nom_distribucion': 'TI', 'sub_categoria': '', 'porcentaje': '100.00'}]]}];17/09/2025;;;;;;1;;COMISIÓN PAGOS DIGITALES SEGUN CONTRATO -;;1;55.93;66;;55.93;18;10.07;66;1;;not_paid;Sin pagar;2;SAMUEL CHUQUISTA;137;TI;[[{'código': 137, 'nom_distribucion': 'TI', 'sub_categoria': '', 'porcentaje': '100.00'}]];;;;;;G & N MUSIC S.A.C.;
