OrganizadorID,Organizador,VentasAjustadas,EgresosAjustados,MargenAjustado
3357,Carbajal de Alonso,9467.33,0.0,9467.33
3213,Duarte y Ureña SA,7017.08,0.0,7017.08
3516,Asociación Toro,6966.91,0.0,6966.91
2282,Air Nevárez SA,6941.39,0.0,6941.39
2652,Gálvez y Palomino y Flia.,6344.67,0.0,6344.67
2669,Gestora Jaimes SRL,8696.68,2866.66,5830.02
3794,"Aparicio, Puig y Menéndez e Hija",5660.34,0.0,5660.34
2554,Prado-Hurtado y Asoc.,5630.44,0.0,5630.44
2877,Pulido y Morales y Asoc.,5897.11,320.67,5576.44
275,Asociación Cárdenas,5512.23,0.0,5512.23
508,Global Herrero-Archuleta,5477.17,0.0,5477.17
2191,Viajes Zaragoza-Gallardo,5442.12,0.0,5442.12
2097,Grupo Palomo-Zepeda,5298.37,0.0,5298.37
4559,Fuentes de Leiva,5280.59,0.0,5280.59
4108,Puga de Cárdenas y Flia.,5156.46,0.0,5156.46
3154,Perales y Galán,5133.92,0.0,5133.92
1841,Viera de Rodríquez SRL,5117.27,0.0,5117.27
1146,Lara de Pereira,5077.14,0.0,5077.14
1310,Global Galán,5071.16,0.0,5071.16
4996,Viajes Cantú-Lorenzo,5065.21,0.0,5065.21
2968,Cadena-Garrido e Hijos,5040.32,0.0,5040.32
2259,Perales y Más y Flia.,5034.66,0.0,5034.66
4963,Asociación Saucedo,5624.35,615.71,5008.64
3668,Carbonell de Almaráz,4982.07,0.0,4982.07
843,Laureano y Más e Hijos,4877.17,0.0,4877.17
4029,Viajes Álvarez,5058.73,196.16,4862.57
86,Grupo Puga y Flia.,4833.94,0.0,4833.94
814,Barrientos de Cotto y Asoc.,4823.87,0.0,4823.87
1981,Rentería-Aguilar SRL,4768.86,0.0,4768.86
4522,Global Dueñas S. de H.,4760.59,0.0,4760.59
2455,Alfaro y Parra,4707.7,0.0,4707.7
173,Anaya-Ornelas,5146.97,454.8,4692.17
3256,Ontiveros y Barragán,4691.94,0.0,4691.94
320,Rey de Rubio SRL,4680.57,0.0,4680.57
1334,Chavarría y Serra SA,4636.7,0.0,4636.7
1285,Armenta de Rodarte y Flia.,4625.22,0.0,4625.22
2189,Olivera y Aranda,4605.87,0.0,4605.87
3914,"Menéndez, Cuesta y Gurule e Hija",4602.59,0.0,4602.59
3475,Global Osorio-Asensio,4598.47,0.0,4598.47
2930,Empresa Cepeda e Hija,4577.02,0.0,4577.02
3618,Cuenca de Melgar,4574.37,0.0,4574.37
977,Corporación Franco-Robledo,5317.34,745.35,4571.99
4168,Silva y Grijalva,4758.22,203.41,4554.81
3446,Asociación Galarza-Salcido,4547.05,0.0,4547.05
4769,Villarreal de Esteban,4537.0,0.0,4537.0
1241,Grupo Hernándes,4532.06,0.0,4532.06
3344,Pagan de Millán SA,4490.98,0.0,4490.98
3833,Sevilla y Berríos e Hijo,4472.78,0.0,4472.78
1052,Empresa Toro-Marroquín,4452.89,0.0,4452.89
3115,Guajardo de Abeyta,4785.46,343.19,4442.27
4492,Asociación Feliciano,4372.5,0.0,4372.5
2193,Cortez-Zaragoza,4366.87,0.0,4366.87
2280,Griego y Rubio e Hijos,4345.19,0.0,4345.19
3811,Centro Benavídez,4340.52,0.0,4340.52
2971,Pascual-Olivera,4323.2,0.0,4323.2
3036,"Betancourt, Rael y Quiroz SRL",5050.85,744.63,4306.22
2075,Gestora Ibáñez SRL,4302.41,0.0,4302.41
968,Cadena y Araña S. de H.,4649.74,383.95,4265.79
3196,"Anguiano, Pichardo y Chapa e Hija",5136.68,882.4,4254.28
3082,Global Aponte,4251.13,0.0,4251.13
4624,Salazar y Palacios y Flia.,4247.84,0.0,4247.84
3259,Regalado-Aguilar,4246.66,0.0,4246.66
4847,Nevárez de Vela,4244.0,0.0,4244.0
1456,Air Menéndez-Olivas,4207.55,0.0,4207.55
2788,Ontiveros y Jaramillo e Hija,4179.38,0.0,4179.38
3199,Asociación Alba-Archuleta,4112.54,0.0,4112.54
4392,Covarrubias y Armendáriz,4111.7,0.0,4111.7
2580,Global Briones,4064.13,0.0,4064.13
4577,Tirado de Ordóñez y Flia.,4040.57,0.0,4040.57
3942,"Borrego, Zambrano y Becerra y Flia.",4037.87,0.0,4037.87
3010,Mercado-Guardado,4216.26,180.15,4036.11
1164,Empresa Casanova,4033.47,0.0,4033.47
3837,"Tamayo, Llamas y Saiz e Hijo",4026.55,0.0,4026.55
4727,Asociación Herrera-Aragón,4005.86,0.0,4005.86
904,Rosario y Solorzano y Flia.,3979.49,0.0,3979.49
1657,Centro Alemán,3964.53,0.0,3964.53
3469,Grupo Chavarría,3963.87,0.0,3963.87
4901,"Leiva, Gaytán y Romero e Hijos",3947.92,0.0,3947.92
1936,Rodrigo-Tafoya e Hija,4074.19,136.11,3938.08
4028,Air Guajardo-Montenegro,3927.22,0.0,3927.22
1439,Ruíz de Tapia y Flia.,3920.62,0.0,3920.62
3916,"Chávez, Alejandro y Delagarza SRL",3893.98,0.0,3893.98
3921,Sola y Noriega y Asoc.,3882.98,0.0,3882.98
4822,Viajes Bonilla-Gálvez,3869.11,0.0,3869.11
2862,Batista y Delgado S. de H.,3868.49,0.0,3868.49
84,Yáñez-Blázquez,3855.67,0.0,3855.67
3669,Vila-Sisneros SA,4219.45,363.8,3855.65
4639,Granado y Valles,3894.61,39.8,3854.81
4462,Centro Ponce-Rubio,3849.47,0.0,3849.47
468,Loera de Reyna,3836.03,0.0,3836.03
4883,Palomo de Mateo,3834.08,0.0,3834.08
2275,Carrasquillo-Munguía,3821.14,0.0,3821.14
791,Muro y Banda,3814.42,0.0,3814.42
4623,Calderón-Parra,3802.97,0.0,3802.97
3807,Global Rojo-Terán,3801.82,0.0,3801.82
3192,Corporación Carbajal-Amador,3789.48,0.0,3789.48
659,Farías-Avilés e Hijos,3784.98,0.0,3784.98
461,Global Villalba S. de H.,3774.17,0.0,3774.17
743,Cuevas-Cotto y Flia.,3774.03,0.0,3774.03
842,Asociación Castellanos y Asoc.,3766.33,0.0,3766.33
3118,Ponce y Córdoba e Hijo,3750.78,0.0,3750.78
1693,Valles y Galván e Hija,3736.76,0.0,3736.76
2988,Centro Raya-Brito,3734.26,0.0,3734.26
1986,"Avilés, Ochoa y Calero SRL",3725.95,0.0,3725.95
3124,Global Negrón-Ruvalcaba,3725.25,0.0,3725.25
254,Espino de Ramírez e Hija,3722.28,0.0,3722.28
2238,Montalvo de Carrasquillo e Hijo,3708.85,0.0,3708.85
4174,Ávila de Rendón,3704.37,0.0,3704.37
2330,Asociación Garica SRL,3703.57,0.0,3703.57
4687,Galván de Cervantes y Asoc.,3697.56,0.0,3697.56
3204,Jaime y Otero e Hijos,3694.1,0.0,3694.1
1184,Asociación Padrón S. de H.,3692.32,0.0,3692.32
3924,"Vidal, Palacios y Domingo SRL",3685.35,0.0,3685.35
2379,Grupo Ramón y Asoc.,3671.41,0.0,3671.41
4252,"Alfonso, Granado y Ocampo e Hijos",3665.08,0.0,3665.08
2570,Córdova y Armas,3648.42,0.0,3648.42
719,Jáquez de Reséndez,4301.92,660.14,3641.78
2590,"Reynoso, Valdés y Arroyo e Hijos",3638.46,0.0,3638.46
2065,Aguado y Naranjo,3635.62,0.0,3635.62
4983,Mateos de Posada,3632.66,0.0,3632.66
4166,Villalobos y Quiñones,3629.86,0.0,3629.86
731,"Sisneros, Godínez y Vicente y Flia.",3606.59,0.0,3606.59
4787,Viajes Guerrero e Hija,3597.13,0.0,3597.13
2485,Gestora Fernández,3592.61,0.0,3592.61
2048,Lugo-Villaseñor y Flia.,3587.19,0.0,3587.19
2110,Berríos de Bañuelos e Hijo,5386.35,1813.67,3572.68
3979,Maestas de Casanova,3566.52,0.0,3566.52
3780,Vila y Gimeno e Hijo,3555.31,0.0,3555.31
1169,Gestora Terrazas-Montero,3552.3,0.0,3552.3
606,Viajes Maldonado e Hija,3545.23,0.0,3545.23
2974,Asociación Arenas,3541.33,0.0,3541.33
812,Verdugo de Godoy y Asoc.,3539.97,0.0,3539.97
4069,Merino de Velasco,3536.16,0.0,3536.16
1116,Bermúdez-Campos,4989.1,1461.91,3527.19
2614,Benítez de Alemán y Flia.,4037.3,515.87,3521.43
1512,Tafoya de Angulo e Hijo,3519.64,0.0,3519.64
993,Gestora Calderón-Simón,3512.89,0.0,3512.89
1880,Díez y Vigil e Hijo,4811.55,1312.26,3499.29
4124,Global Riojas S. de H.,3498.35,0.0,3498.35
1743,"Casares, Rojas y Delagarza y Asoc.",3496.46,0.0,3496.46
88,Viajes Curiel,3493.59,0.0,3493.59
4263,"Hernández, Martínez y Duran e Hijos",3486.61,0.0,3486.61
1941,Robledo y Leyva,7066.64,3587.83,3478.81
4290,Serrano y Loya e Hijos,4026.88,552.28,3474.6
1490,Asociación Cedillo,4091.42,621.47,3469.95
1065,Grupo Ureña-Orellana,3528.27,59.8,3468.47
2132,Arriaga-Ferrer,4607.94,1139.95,3467.99
2166,"Palacios, Velásquez y Valles e Hija",3462.6,0.0,3462.6
4013,Tamez de Cabán y Asoc.,3458.2,0.0,3458.2
616,Orozco-Lugo,3454.58,0.0,3454.58
1570,Rosa y Barragán e Hijos,3449.65,0.0,3449.65
380,Cordero de Avilés,3435.12,0.0,3435.12
3981,Núñez-Verduzco e Hija,3431.92,0.0,3431.92
4112,Posada-Muñiz,3427.25,0.0,3427.25
2730,Delafuente-Carrasquillo,4440.4,1014.93,3425.47
4628,Lorenzo-Bahena S. de H.,3461.32,35.88,3425.44
1360,Oliva de Tafoya e Hijos,3419.67,0.0,3419.67
1139,Contreras y Parra SA,3853.31,434.2,3419.11
23,Lorenzo y Olivas S. de H.,3410.36,0.0,3410.36
4019,Bermúdez-Colunga,3406.01,0.0,3406.01
4260,Vigil-Lorenzo e Hijos,3788.07,384.22,3403.85
1640,Mojica-Morán,3403.04,0.0,3403.04
1342,"Pagan, Herrera y Benavídez SA",3549.7,148.12,3401.58
1552,Roque-Roybal y Flia.,3396.48,0.0,3396.48
93,Viajes Conde,3385.89,0.0,3385.89
2789,Palomo de Correa,3379.09,0.0,3379.09
4673,Corporación Román,3376.13,0.0,3376.13
2109,Carrasco-Meléndez,3362.24,0.0,3362.24
3640,Tirado-Arreola,4487.12,1127.82,3359.3
3883,Asociación Lozano-Del Río,3356.09,0.0,3356.09
4703,"Bautista, Carrero y Cadena SRL",3345.17,0.0,3345.17
2691,Alarcón-Ulloa,3332.85,0.0,3332.85
2584,Global Alemán-Manzano,3325.84,0.0,3325.84
1525,Alfonso-Corral,3322.92,0.0,3322.92
315,Linares y Mena,4612.67,1291.21,3321.46
2496,Lozano y Bautista,3311.95,0.0,3311.95
611,Valle y Castro,3305.9,0.0,3305.9
422,Gestora Espinal-Tirado,3305.2,0.0,3305.2
924,Cavazos y Madrid,3304.92,0.0,3304.92
2987,Lerma y Alanis,3304.42,0.0,3304.42
2281,Arteaga-Fuentes,3280.91,0.0,3280.91
3352,Pabón-Muñoz y Asoc.,3279.35,0.0,3279.35
3163,Gestora Nevárez SRL,3524.87,247.51,3277.36
372,Cabán de Benito e Hija,3270.69,0.0,3270.69
1015,Gestora Ordoñez y Asoc.,3267.59,0.0,3267.59
2979,Aguayo-Ceballos y Flia.,3265.44,0.0,3265.44
3996,Global Benítez,3257.95,0.0,3257.95
3252,Robledo y Abreu S. de H.,3257.35,0.0,3257.35
1610,"Vigil, Ceballos y Gámez S. de H.",3250.71,0.0,3250.71
3825,Sauceda-Tijerina y Flia.,3245.19,0.0,3245.19
4475,Corporación Verdugo S. de H.,4405.75,1167.58,3238.17
2473,Corrales y Rodarte e Hijo,3238.15,0.0,3238.15
4131,Aguado-Domingo,4738.74,1502.92,3235.82
699,Gestora Fuentes-Estrada,3234.87,0.0,3234.87
3435,Miranda y Villar SA,5150.48,1917.21,3233.27
2804,"Lucas, Perea y Acuña S. de H.",3230.92,0.0,3230.92
4953,Henríquez y Alba S. de H.,3223.79,0.0,3223.79
3159,Lemus-Cervántez,3192.54,0.0,3192.54
3290,Escamilla-Vega,3182.18,0.0,3182.18
2437,Salcedo de Becerra,3168.58,0.0,3168.58
285,Air Pizarro y Flia.,3163.09,0.0,3163.09
2354,Castillo-Galarza,3330.31,168.57,3161.74
3636,Patiño y Herrero SRL,3156.28,0.0,3156.28
