EventoID,NombreEvento,PrecioPromedio,Unidades,Ventas
259,Aut voluptatem sunt consequatur sit.,141.02434,53.0,6334.14
1084,Odio velit cupiditate porro.,201.098108,37.0,6305.61
2412,Velit repellendus.,169.07,44.0,6304.3
1826,Impedit non quod.,185.3235,40.0,6282.15
357,Voluptatum suscipit aut est.,194.336579,38.0,6258.29
4604,A ullam quasi.,121.524667,60.0,6179.22
2017,Et est.,133.159259,54.0,6093.74
861,Nihil magni.,101.998143,70.0,6050.74
4021,Molestiae sunt voluptas nemo.,134.424808,52.0,5923.81
3017,Laboriosam aperiam fugiat.,345.893,20.0,5862.6
1755,Quis tempora hic.,123.442143,56.0,5858.27
1258,Quam impedit iste.,137.9016,50.0,5843.29
3090,Fugiat enim corrupti praesentium aut.,146.039574,47.0,5816.83
1293,Commodi voluptates velit odit.,212.432813,32.0,5760.89
4941,Hic nobis corrupti excepturi.,136.412292,48.0,5548.97
4329,Dolor blanditiis voluptas.,216.190333,30.0,5496.36
3694,Est nulla dolorem quaerat.,134.974792,48.0,5490.49
2583,Quis eum velit.,113.968929,56.0,5408.7
4255,Ut alias doloribus libero.,165.89,38.0,5342.22
895,Commodi in.,251.7356,25.0,5333.39
4275,Consequatur aut molestiae iure.,184.005588,34.0,5301.85
2336,Sed fuga hic vero suscipit.,177.377143,35.0,5261.19
4218,Voluptates modi.,150.98122,41.0,5245.96
3185,Totam ipsum saepe.,187.046364,33.0,5230.96
4628,Quia distinctio quaerat.,134.050435,46.0,5225.69
2396,Ex molestias commodi.,254.581667,24.0,5177.93
1658,At quo.,101.485833,60.0,5160.29
840,Quia cupiditate quas vel.,147.148537,41.0,5112.78
4034,Quia minus consequatur eum.,146.036829,41.0,5074.16
722,Non aliquam occaecati.,119.258,50.0,5053.31
