ProductoID,NomProducto,Ventas,Egresos,Margen
0,,0.0,0.0,0.0
1979,CLIPS,0.0,1.03,-1.03
1977,CINTA DE AGUA,0.0,1.35,-1.35
1948,PULVERIZADOR,0.0,2.0,-2.0
1983,ALGODON,0.0,2.12,-2.12
1969,LIMPIA TIPO,0.0,3.12,-3.12
1970,TAJADOR,0.0,4.28,-4.28
1975,RESALTADOR,0.0,4.5,-4.5
1974,REGLA,0.0,4.8,-4.8
2018,Micas,0.0,6.36,-6.36
1988,CINTA,0.0,6.78,-6.78
1990,Delivery,0.0,6.78,-6.78
1755,PARQUEO POR 3 HORAS,0.0,7.18,-7.18
1951,LIMPIAVIDRIOS,0.0,7.25,-7.25
2035,INSECTICIDA,0.0,7.54,-7.54
1968,TIJERA,0.0,7.93,-7.93
2016,Lapicero,0.0,8.2,-8.2
1682,PROPINA A JEFF ANDERSON,0.0,8.47,-8.47
1879,ENVIO,0.0,8.47,-8.47
1980,ALCOHOL,0.0,8.47,-8.47
